Year,Hospitals,Public Health,Administration,COVID-19 Response Funding,Total,Province
2023,2066.542421863695,224.3179913543643,66.8929693317678,0.0,5912.099791778115,Que.
2024,2073.6017544813294,233.51054803694623,69.43689345559066,0.0,6003.1478559011775,Que.
2020,3.0782231120778603,10.185124660590738,7.841415490210912,0.0,20.27981063102895,Que.
2021,5.694806070996394,7.33531239933336,21.20365239148052,12.49113609661736,8.427088325362986,Que.
2022,13.936861699351224,48.092793478714334,21.84512150622382,-76.48998372531473,-1.145145245327306,Que.
2023,1.9009698325800797,21.946299500616327,25.377106698662757,0.0,0.2648748955184299,Que.
2024,0.3416011470632307,4.098002405906054,3.8029768288589727,0.0,1.5400292168559426,Que.
2024,0.0,0.0,0.0,0.0,0.0,Que.
2020,23872.449740089745,4361.093451894775,486.264895704017,6582.969855095,72007.29043882988,Ont.
2021,24332.279262982756,4734.954145369242,418.8080869625012,9238.33934508,77439.57102431936,Ont.
2022,27335.073371818435,6486.380875919673,569.9903790300004,2353.923474505,79782.53736566825,Ont.
2023,28886.90485473049,6217.0931938939575,618.9966896831995,0.0,81474.38102127753,Ont.
2024,31058.65943260231,5793.812301961288,620.9253878110654,0.0,85229.22040956224,Ont.
2020,4.618338256501464,3.691405690786653,-24.483527173204457,0.0,13.758878168636636,Ont.
2021,1.9261932809551572,8.572636601310023,-13.872440584848611,40.33695350936222,7.544070263418945,Ont.
2022,12.34078433993604,36.9893071142688,36.09822655622112,-74.5200583505453,3.0255414775129497,Ont.
2023,5.677070852540456,-4.151586025813414,8.597743480617549,0.0,2.120568875686457,Ont.
2024,7.518128331136098,-6.8083407909727,0.3115845625689895,0.0,4.608613580389287,Ont.
2024,0.0,0.0,0.0,0.0,0.0,Ont.
2020,33.15282326915129,6.056460985154718,0.6752995325065017,9.142087995502658,100.0,Ont.
2021,31.420989219247318,6.114385814304501,0.5408192238448447,11.929739825364946,100.0,Ont.
2022,34.26197545777877,8.130075941544158,0.7144299966514687,2.9504244314971264,100.0,Ont.
2023,35.45520014099463,7.630733877278953,0.7597439611373602,0.0,100.0,Ont.
2024,36.44132761434681,6.797917749475571,0.7285358059445549,0.0,100.0,Ont.
2020,-8.035012351814174,-8.849834527135469,-33.61707319682811,0.0,0.0,Ont.
2021,-5.223790552750451,0.9564138081920248,-19.914171739836384,30.49250708627657,0.0,Ont.
2022,9.041682993198608,32.966354895760496,32.10144261743755,-75.26832542295725,0.0,Ont.
2023,3.482649985218389,-6.14191143914905,6.342673837643709,0.0,0.0,Ont.
2024,2.781333822487686,-10.913971594306936,-4.107720072705245,0.0,0.0,Ont.
2024,0.0,0.0,0.0,0.0,0.0,Ont.
2020,1617.176221812469,295.4307877193913,32.940734419646546,445.9459516921738,4877.944206088933,Ont.
2021,1639.3666117825228,319.01350672267625,28.21683850864499,622.4252527662478,5217.425206900579,Ont.
2022,1804.8902306026448,428.2851308160375,37.63553339166722,155.4257208287009,5267.910581591598,Ont.
2023,1850.7318000189823,398.31792763830464,39.65799947984312,0.0,5219.916380838864,Ont.
2024,1935.0263612181488,360.96791494087176,38.68508865848828,0.0,5309.97767616001,Ont.
2020,3.2842212092480283,2.369109100235023,-25.446530556986623,0.0,12.308198859727115,Ont.
2021,1.3721689492307565,7.982485232948888,-14.340590743429582,39.57414579152712,6.959509712880396,Ont.
2022,10.096803096419292,34.25297731620902,33.37969588668328,-75.02901430526131,0.9676300605947707,Ont.
2023,2.5398535954749724,-6.997021615164312,5.373820711210331,0.0,-0.9110671111322022,Ont.
2024,4.554661091266787,-9.376934881863718,-2.453252393251315,0.0,1.7253398091153338,Ont.
2024,0.0,0.0,0.0,0.0,0.0,Ont.
2020,2522.101148910752,550.7445718019089,39.1933758725,533.6790774229249,7201.499280869812,Man.
2021,2651.186743017464,579.7618024763261,37.8053193725,622.8492474051417,7542.164277138127,Man.
2022,3109.34639419461,641.4003398407569,37.787925805,148.3187405325,7879.016588093051,Man.
2023,3058.3273940954587,637.327329059375,43.18274293657352,0.0,7997.256287328262,Man.
2024,3263.320088590008,641.9854871724334,43.17125179488202,0.0,8659.443688294305,Man.
2020,-0.9081588108688976,14.360876919730048,-5.930441871628567,0.0,8.96106421552847,Man.
2021,5.118176729845336,5.268727493669068,-3.5415589218838583,16.708575200813435,4.730473238722177,Man.
2022,17.281304396373432,10.631700312292946,-0.0460082543639384,-76.18705631412222,4.4662552892939855,Man.
2023,-1.6408271588655543,-0.6350184944387771,14.276563258361463,0.0,1.5006910813450736,Man.
2024,6.702771419774001,0.7308894347796802,-0.0266104950961021,0.0,8.280182317219031,Man.
2024,0.0,0.0,0.0,0.0,0.0,Man.
2020,35.02188989465715,7.6476376699073825,0.5442391138830488,7.410666260018929,100.0,Man.
2021,35.15153801480781,7.686942118639672,0.5012529293096387,8.258229660856468,100.0,Man.
2022,39.46363558738442,8.140614157483254,0.4796020592481804,1.8824524466244004,100.0,Man.
2023,38.24220813007344,7.969324805423916,0.5399694768441651,0.0,100.0,Man.
2024,37.68510086856169,7.413703585142069,0.498545326338229,0.0,100.0,Man.
2020,-9.057568497014437,4.955726839745789,-13.66681409948528,0.0,0.0,Man.
2021,0.3701916730953991,0.5139423496349549,-7.898400441436726,11.437074226513255,0.0,Man.
2022,12.267166150056095,5.901853192617335,-4.319350331034954,-77.20513325577375,0.0,Man.
2023,-3.095070788920007,-2.1041330389290125,12.586980483490006,0.0,0.0,Man.
2024,-1.4567863330926412,-6.971998680536795,-7.671572613333288,0.0,0.0,Man.
2024,0.0,0.0,0.0,0.0,0.0,Man.
2020,1827.4347300915797,399.05209922087806,28.398280651778236,386.68698169662383,5217.978628761461,Man.
2021,1904.692169268914,416.5182886970309,27.160476701673367,447.4736030165021,5418.5173020496295,Man.
2022,2199.8914639673376,453.7966999224972,26.7353086084778,104.9368870104124,5574.477442900852,Man.
2023,2102.0848099016007,438.0551604571132,29.680860248026,0.0,5496.766302698231,Man.
2024,2195.1537754772694,431.84757477378906,29.04022093969997,0.0,5824.991110236215,Man.
2020,-1.633255036569814,13.524050807436172,-6.61878796282741,0.0,8.163750779195844,Man.
2021,4.227644243877471,4.37691958274482,-4.358728492343977,15.719852024283698,3.843225270851081,Man.
2022,15.49853039043738,8.950005854984688,-1.5653926028823206,-76.54903299255788,2.878280757583407,Man.
2023,-4.445976343276048,-3.468852785415244,11.017458906811209,0.0,-1.394052464981932,Man.
2024,4.427460069036182,-1.417078542539374,-2.158425675578701,0.0,5.971234530688818,Man.
2024,0.0,0.0,0.0,0.0,0.0,Man.
2020,2130.1921334546423,550.8732350289819,40.728831051060645,314.125,6244.171518335878,Sask.
2021,2254.753359272348,498.06551016110063,42.11808442122023,369.8093125,6556.4731325595085,Sask.
2022,2526.1218786308923,476.2554945252768,43.77249271372081,91.2114375,6742.367069646372,Sask.
2023,2750.946590150449,476.08737660085615,45.31373500448345,0.0,7319.01690928508,Sask.
2024,2801.607976906395,477.01676880654526,49.35645033548988,0.0,7506.388328382678,Sask.
2020,-1.814300961268811,20.117212159665023,-8.34555631058278,0.0,6.234844446271648,Sask.
2021,5.847417416554723,-9.586184535740417,3.4109826732270143,17.726800636689212,5.001490002421671,Sask.
2022,12.035397053189032,-4.3789451770650185,3.9280235918494055,-75.33554877691189,2.835273375310776,Sask.
2023,8.899994628976792,-0.0352999443267942,3.5210292930828,0.0,8.55263194189979,Sask.
2024,1.841598340634265,0.1952146289457834,8.921611362661764,0.0,2.560062661692908,Sask.
2024,0.0,0.0,0.0,0.0,0.0,Sask.
2020,34.114888215344145,8.822198964447953,0.652269575418633,5.0306914068196,100.0,Sask.
2021,34.389729259702456,7.596546193222428,0.6423893390497007,5.640369525248619,100.0,Sask.
2022,37.46639499951437,7.063624534317378,0.6492155093539963,1.352810319548264,100.0,Sask.
2023,37.586285484059104,6.504799517499136,0.6191232451860763,0.0,100.0,Sask.
2024,37.32298216324798,6.35481070174427,0.6575259389241349,0.0,100.0,Sask.
2020,-7.576747016946328,13.067621820084096,-13.724687820509295,0.0,0.0,Sask.
2021,0.8056337239724431,-13.892826223538012,-1.5147473899255526,12.119171484113275,0.0,Sask.
2022,8.946466884277338,-7.015315188638205,1.0626219785019542,-76.01557285400314,0.0,Sask.
2023,0.3199947167222383,-7.911306923284056,-4.635173333715237,0.0,0.0,Sask.
2024,-0.7005303062543877,-2.3058176558918952,6.202754304034697,0.0,0.0,Sask.
